0开课系,1课程号,2课程名,3课序号,4学分,5考试类型,6教师,7周次,8星期,9节次,10校区,11教学楼,12教室,课容量,课余量
土木建筑工程学院,30L638Q,环境监测,01,4.0,考试,田秀君* 王爱民 ,1-16周,1,1,主校区,机械楼,Z107,34,10
土木建筑工程学院,30L638Q,环境监测,01,4.0,考试,田秀君* 王爱民 ,1-16周,4,1,主校区,机械楼,Z107,34,10
土木建筑工程学院,30L639Q,水质工程学 Ⅰ,01,4.0,考试,李德生* 李久义 ,1-16周,5,1,主校区,机械楼,Z307,32,7
土木建筑工程学院,30L639Q,水质工程学 Ⅰ,01,4.0,考试,李德生* 李久义 ,1-16周,2,1,主校区,机械楼,Z307,32,7
土木建筑工程学院,30L641Q,大气污染控制工程与实践,01,4.0,考试,韩虹琳* 任福民 ,"1,3,5,7,9,11,13,15周",4,1,主校区,逸夫教学楼,YF东701,38,8
土木建筑工程学院,30L641Q,大气污染控制工程与实践,01,4.0,考试,韩虹琳* 任福民 ,1-16周,1,1,主校区,逸夫教学楼,YF东701,38,8
土木建筑工程学院,30L643Q,泵站与给水排水管道工程,01,4.0,考试,于海琴* 于晓华 ,1-16周,4,2,主校区,机械楼,Z105,30,4
土木建筑工程学院,30L643Q,泵站与给水排水管道工程,01,4.0,考试,于海琴* 于晓华 ,1-16周,1,2,主校区,机械楼,Z105,30,4
土木建筑工程学院,30L644Q,膜法水处理工程,01,2.0,考试,于海琴* ,9-16周,2,2,主校区,机械楼,Z201,31,19
土木建筑工程学院,30L644Q,膜法水处理工程,01,2.0,考试,于海琴* ,9-16周,5,2,主校区,机械楼,Z201,31,19
土木建筑工程学院,30L645Q,水处理自动监控,01,2.0,考试,陶若虹* ,1-8周,5,4,主校区,机械楼,Z308,31,6
土木建筑工程学院,30L645Q,水处理自动监控,01,2.0,考试,陶若虹* ,1-8周,3,1,主校区,机械楼,Z308,31,6
土木建筑工程学院,30L650Q,低碳技术与政策管理导论,01,2.0,考试,李进* 于海琴 ,1-16周,1,6,主校区,逸夫教学楼,YF606,100,83
土木建筑工程学院,30L651Q,科技日语与阅读,02,2.0,考试,赵伯明* ,1-16周,2,6,主校区,逸夫教学楼,YF406,120,39
土木建筑工程学院,30L652Q,理论力学（A）,01,4.0,考试,税国双* ,1-16周,4,4,主校区,逸夫教学楼,YF401,45,32
土木建筑工程学院,30L652Q,理论力学（A）,01,4.0,考试,税国双* ,1-16周,1,4,主校区,逸夫教学楼,YF401,45,32
土木建筑工程学院,30L652Q,理论力学（A）,02,4.0,考试,梁小燕* ,1-16周,3,4,主校区,思源西楼,SX405,96,3
土木建筑工程学院,30L652Q,理论力学（A）,02,4.0,考试,梁小燕* ,1-16周,1,2,主校区,思源西楼,SX101,96,3
土木建筑工程学院,30L652Q,理论力学（A）,03,4.0,考试,蒋永莉* ,1-16周,1,2,主校区,思源西楼,SX201,96,25
土木建筑工程学院,30L652Q,理论力学（A）,03,4.0,考试,蒋永莉* ,1-16周,3,4,主校区,思源西楼,SX403,96,25
土木建筑工程学院,30L652Q,理论力学（A）,04,4.0,考试,祝瑛* ,1-16周,3,4,主校区,思源西楼,SX404,96,26
土木建筑工程学院,30L652Q,理论力学（A）,04,4.0,考试,祝瑛* ,1-16周,1,2,主校区,思源西楼,SX204,96,26
土木建筑工程学院,30L652Q,理论力学（A）,05,4.0,考试,邹翠荣* ,1-16周,3,4,主校区,思源西楼,SX402,96,20
土木建筑工程学院,30L652Q,理论力学（A）,05,4.0,考试,邹翠荣* ,1-16周,1,2,主校区,思源西楼,SX405,96,20
土木建筑工程学院,30L652Q,理论力学（A）,06,4.0,考试,金明* ,1-16周,1,2,主校区,逸夫教学楼,YF406,96,28
土木建筑工程学院,30L652Q,理论力学（A）,06,4.0,考试,金明* ,1-16周,4,2,主校区,第九教学楼,东102,96,28
土木建筑工程学院,30S012T,工程识图,01,1.0,考试,李雪梅1* ,1-8周,2,5,主校区,逸夫教学楼,YF204,38,6
土木建筑工程学院,30S170Q,土木工程专业认识实习,01,1.0,考查,张鸿儒* ,1周上,6,1,主校区,,不要教室,390,24
土木建筑工程学院,30S185Q,土木工程系列扩展实验Ⅰ,01,0.5,考查,张鸿儒* ,1周上,6,1,主校区,,不要教室,100,96
土木建筑工程学院,30S186Q,土木工程系列扩展实验Ⅱ,01,1.0,考查,张鸿儒* ,1周上,6,1,主校区,,不要教室,100,74
土木建筑工程学院,30S187Q,土木工程系列扩展实验Ⅲ,01,1.5,考查,张鸿儒* ,1周上,6,1,主校区,,不要教室,100,98
土木建筑工程学院,30S188Q,土木工程系列扩展实验Ⅳ,01,2.0,考查,张鸿儒* ,1周上,6,1,主校区,,不要教室,60,53
土木建筑工程学院,30S189Q,土木工程系列扩展实验Ⅴ,01,2.5,考查,张鸿儒* ,1周上,6,1,主校区,,不要教室,60,54
土木建筑工程学院,30S600Q,无机化学实验,01,0.5,考查,王爱民* ,1周上,6,1,主校区,,不要教室,5,5
土木建筑工程学院,30S602Q,水质工程学Ⅰ课程设计,01,1.5,考查,李德生* ,1周上,6,1,主校区,,不要教室,30,6
土木建筑工程学院,30S609Q,泵站与给水排水管道工程课程设计,01,1.0,考查,于晓华* 于海琴 ,1周上,6,1,主校区,,不要教室,25,0
土木建筑工程学院,35L003T,计算机辅助设计,01,2.0,考试,陈凡丁* ,1-16周,4,6,主校区,逸夫教学楼,YF305,100,5
土木建筑工程学院,35L003T,计算机辅助设计,02,2.0,考试,崔铸* ,1-16周,2,6,主校区,逸夫教学楼,YF606,100,48
经济管理学院,40L001H,世界遗产景点赏析,01,1.0,考查,王衍用* ,5-12周上,2,6,主校区,思源楼,SY106,140,140
经济管理学院,40L001T,WTO与中国对外贸易,01,2.0,考试,刘似臣* ,1-8周,2,6,主校区,逸夫教学楼,YF413,70,52
经济管理学院,40L001T,WTO与中国对外贸易,01,2.0,考试,刘似臣* ,1-8周,4,6,主校区,逸夫教学楼,YF613,70,52
经济管理学院,40L005T,管理学(B),01,2.0,考试,姜文生* ,1-16周,5,1,主校区,思源楼,SY407,70,38
经济管理学院,40L006T,国际融资学,01,2.0,考试,柯金川* ,1-8周,4,6,主校区,逸夫教学楼,YF609,70,65
经济管理学院,40L006T,国际融资学,01,2.0,考试,柯金川* ,1-8周,2,6,主校区,逸夫教学楼,YF609,70,65
经济管理学院,40L007T,技术经济学,02,2.0,考试,陈娟* ,1-8周,5,6,主校区,逸夫教学楼,YF613,70,59
经济管理学院,40L007T,技术经济学,02,2.0,考试,陈娟* ,1-8周,2,6,主校区,逸夫教学楼,YF613,70,59
经济管理学院,40L008T,企业资源计划概论,01,2.0,考试,邵丽萍* ,1-8周,4,6,主校区,逸夫教学楼,YF615,70,67
经济管理学院,40L008T,企业资源计划概论,01,2.0,考试,邵丽萍* ,1-8周,2,6,主校区,逸夫教学楼,YF615,70,67
经济管理学院,40L014T,西方经济学,01,2.0,考试,霍翠凤* 胡雅梅 ,1-8周,1,6,主校区,逸夫教学楼,YF208,70,38
经济管理学院,40L014T,西方经济学,01,2.0,考试,霍翠凤* 胡雅梅 ,1-8周,4,6,主校区,逸夫教学楼,YF208,70,38
经济管理学院,40L014T,西方经济学,02,2.0,考试,刘延平* ,1-8周,4,6,主校区,逸夫教学楼,YF308,70,50
经济管理学院,40L014T,西方经济学,02,2.0,考试,刘延平* ,1-8周,2,6,主校区,逸夫教学楼,YF508,70,50
经济管理学院,40L016T,博弈论,01,2.0,考试,陈秀平* ,1-16周,4,6,主校区,思源西楼,SX401,70,0
经济管理学院,40L018T,法律经济学,01,2.0,考试,李津京* ,1-8周,1,6,主校区,思源西楼,SX403,70,58
经济管理学院,40L018T,法律经济学,01,2.0,考试,李津京* ,1-8周,4,6,主校区,思源西楼,SX403,70,58
经济管理学院,40L023T,中外民俗风情,01,2.0,考试,殷平* ,1-8周,4,6,主校区,思源西楼,SX405,70,5
经济管理学院,40L023T,中外民俗风情,01,2.0,考试,殷平* ,1-8周,1,6,主校区,思源西楼,SX405,70,5
经济管理学院,40L024T,旅游市场营销,01,2.0,考试,殷平* 陈怡宁 ,1-8周,2,6,主校区,逸夫教学楼,YF614,70,0
经济管理学院,40L024T,旅游市场营销,01,2.0,考试,殷平* 陈怡宁 ,1-8周,5,6,主校区,逸夫教学楼,YF614,70,0
经济管理学院,40L024T,旅游市场营销,02,2.0,考试,殷平* ,1-16周,1,5,主校区,思源东楼,SD203,70,0
经济管理学院,40L025T,导游业务,01,2.0,考试,王学峰* ,1-16周,2,6,主校区,思源东楼,SD108,70,9
经济管理学院,40L026T,公共关系与实务,01,2.0,考试,童碧莎* ,1-8周,4,6,主校区,思源西楼,SX501,70,28
经济管理学院,40L026T,公共关系与实务,01,2.0,考试,童碧莎* ,1-8周,1,6,主校区,思源西楼,SX501,70,28
经济管理学院,40L027T,电子商务基础,01,2.0,考试,李静* ,1-8周,1,6,主校区,思源西楼,SX502,70,38
经济管理学院,40L027T,电子商务基础,01,2.0,考试,李静* ,1-8周,4,6,主校区,思源西楼,SX502,70,38
经济管理学院,40L028T,旅游美学,01,2.0,考试,石培华* ,9-16周,1,6,主校区,思源西楼,SX502,70,2
经济管理学院,40L028T,旅游美学,01,2.0,考试,石培华* ,9-16周,4,6,主校区,思源西楼,SX502,70,2
经济管理学院,40L033T,中外旅游地理,01,2.0,考试,张建萍* ,9-16周,4,6,主校区,思源西楼,SX501,70,4
经济管理学院,40L033T,中外旅游地理,01,2.0,考试,张建萍* ,9-16周,1,6,主校区,思源西楼,SX501,70,4
经济管理学院,40L035T,世界遗产景点赏析,01,2.0,考试,余青* ,1-8周,4,6,主校区,思源西楼,SX503,70,15
经济管理学院,40L035T,世界遗产景点赏析,01,2.0,考试,余青* ,1-8周,2,6,主校区,思源西楼,SX503,70,15
经济管理学院,40L036T,旅游经济热点分析,01,2.0,考试,张辉* ,9-16周,2,6,主校区,思源西楼,SX503,70,55
经济管理学院,40L036T,旅游经济热点分析,01,2.0,考试,张辉* ,9-16周,4,6,主校区,思源西楼,SX503,70,55
经济管理学院,40L044T,中国税制,01,2.0,考试,姚爱群* ,1-8周,4,6,主校区,思源西楼,SX504,70,48
经济管理学院,40L044T,中国税制,01,2.0,考试,姚爱群* ,1-8周,1,6,主校区,思源西楼,SX504,70,48
经济管理学院,40L045T,绿色物流,02,2.0,考试,章竟* ,1-16周,2,6,主校区,思源东楼,SD202,70,43
经济管理学院,40L046T,国际贸易实务模拟,01,2.0,考试,卜伟* ,1周上,6,1,主校区,,不要教室,70,59
经济管理学院,40L047T,上市公司会计信息披露与分析,01,2.0,考试,李远慧* ,1-16周,2,6,主校区,思源东楼,SD203,70,60
经济管理学院,40L048T,企业会计与财务基础,01,2.0,考试,刘子玲* ,1-8周,1,2,主校区,逸夫教学楼,YF601,60,24
经济管理学院,40L048T,企业会计与财务基础,01,2.0,考试,刘子玲* ,1-8周,4,2,主校区,逸夫教学楼,YF601,60,24
经济管理学院,40L048T,企业会计与财务基础,02,2.0,考试,范铁燕* ,1-16周,1,6,主校区,逸夫教学楼,YF209,70,22
经济管理学院,40L050T,保险与风险管理,01,2.0,考试,任英* ,1-8周,1,5,主校区,逸夫教学楼,YF609,70,51
经济管理学院,40L050T,保险与风险管理,01,2.0,考试,任英* ,1-8周,4,5,主校区,逸夫教学楼,YF609,70,51
经济管理学院,40L051T,中国的金融机构与金融市场,01,2.0,考试,杜佳* ,1-8周,1,5,主校区,思源西楼,SX401,70,44
经济管理学院,40L051T,中国的金融机构与金融市场,01,2.0,考试,杜佳* ,1-8周,4,5,主校区,思源西楼,SX401,70,44
经济管理学院,40L051T,中国的金融机构与金融市场,02,2.0,考试,韦桂丽* ,1-8周,5,5,主校区,思源西楼,SX401,70,53
经济管理学院,40L051T,中国的金融机构与金融市场,02,2.0,考试,韦桂丽* ,1-8周,2,5,主校区,思源西楼,SX401,70,53
经济管理学院,40L052T,营销策划,01,2.0,考试,吴玉督* ,1-8周,1,6,主校区,逸夫教学楼,YF207,70,32
经济管理学院,40L052T,营销策划,01,2.0,考试,吴玉督* ,1-8周,4,6,主校区,逸夫教学楼,YF207,70,32
经济管理学院,40L052T,营销策划,02,2.0,考试,王树祥* ,1-8周,1,5,主校区,思源西楼,SX501,70,1
经济管理学院,40L052T,营销策划,02,2.0,考试,王树祥* ,1-8周,3,5,主校区,思源西楼,SX501,70,1
经济管理学院,40L054T,国际金融,01,2.0,考试,陆超* ,1-8周,4,5,主校区,思源西楼,SX402,70,24
经济管理学院,40L054T,国际金融,01,2.0,考试,陆超* ,1-8周,1,5,主校区,思源西楼,SX402,70,24
经济管理学院,40L055T,项目管理,01,2.0,考试,叶苏东* ,1-8周,4,5,主校区,思源西楼,SX403,70,37
经济管理学院,40L055T,项目管理,01,2.0,考试,叶苏东* ,1-8周,1,5,主校区,思源西楼,SX403,70,37
经济管理学院,40L056T,管理学,01,2.0,考试,马征* ,1-8周,4,5,主校区,思源西楼,SX404,70,22
经济管理学院,40L056T,管理学,01,2.0,考试,马征* ,1-8周,1,5,主校区,思源西楼,SX404,70,22
经济管理学院,40L056T,管理学,02,2.0,考试,曹卫兵* ,1-8周,1,6,主校区,逸夫教学楼,YF313,70,35
经济管理学院,40L056T,管理学,02,2.0,考试,曹卫兵* ,1-8周,4,6,主校区,逸夫教学楼,YF313,70,35
经济管理学院,40L057T,人力资源管理,01,2.0,考试,陈永东* ,1-8周,5,5,主校区,思源东楼,SD107,70,50
经济管理学院,40L057T,人力资源管理,01,2.0,考试,陈永东* ,1-8周,2,6,主校区,思源东楼,SD107,70,50
经济管理学院,40L057T,人力资源管理,02,2.0,考试,王莉* ,1-8周,4,6,主校区,思源东楼,SD107,70,48
经济管理学院,40L057T,人力资源管理,02,2.0,考试,王莉* ,1-8周,1,6,主校区,思源东楼,SD107,70,48
经济管理学院,40L058T,管理信息系统,01,2.0,考试,谢祥* ,1-8周,4,6,主校区,逸夫教学楼,YF414,70,63
经济管理学院,40L058T,管理信息系统,01,2.0,考试,谢祥* ,1-8周,1,6,主校区,逸夫教学楼,YF507,70,63
经济管理学院,40L059T,证券投资分析,01,2.0,考试,刘德红* ,1-16周,2,6,主校区,逸夫教学楼,YF608,70,12
经济管理学院,40L060T,个人投资理财,01,2.0,考试,刘恩* ,5-14周上,6,1,主校区,思源楼,SY107,120,4
经济管理学院,40L097Q,经济模型与应用,01,2.0,考试,常丹* ,9-16周,5,1,主校区,逸夫教学楼,YF东703,70,56
经济管理学院,40L097Q,经济模型与应用,01,2.0,考试,常丹* ,9-16周,2,1,主校区,逸夫教学楼,YF东703,70,56
经济管理学院,40L104Q,会计学基础,01,4.0,考试,祝祖强* ,1-16周,2,1,主校区,机械楼,Z106,30,11
经济管理学院,40L104Q,会计学基础,01,4.0,考试,祝祖强* ,1-16周,5,1,主校区,机械楼,Z106,30,11
经济管理学院,40L107Q,工程经济,01,2.0,考试,刘玉明* ,1-16周,3,2,主校区,思源东楼,SD103,70,34
经济管理学院,40L110Q,财务管理,01,4.0,考试,马忠* ,1-16周,5,1,主校区,逸夫教学楼,YF507,81,1
经济管理学院,40L110Q,财务管理,01,4.0,考试,马忠* ,1-16周,2,1,主校区,逸夫教学楼,YF507,81,1
经济管理学院,40L110Q,财务管理,02,4.0,考试,周绍妮* 谢纪刚 ,1-16周,2,1,主校区,思源西楼,SX405,70,0
经济管理学院,40L110Q,财务管理,02,4.0,考试,周绍妮* 谢纪刚 ,1-16周,5,1,主校区,思源西楼,SX405,70,0
经济管理学院,40L110Q,财务管理,04,4.0,考试,丁慧平* 胡杰武 ,1-16周,5,1,主校区,逸夫教学楼,YF603,70,28
经济管理学院,40L110Q,财务管理,04,4.0,考试,丁慧平* 胡杰武 ,1-16周,2,1,主校区,逸夫教学楼,YF603,70,28
经济管理学院,40L110Q,财务管理,05,4.0,考试,赵健梅* ,1-16周,5,1,主校区,逸夫教学楼,YF606,70,0
经济管理学院,40L110Q,财务管理,05,4.0,考试,赵健梅* ,1-16周,2,1,主校区,逸夫教学楼,YF606,70,0
经济管理学院,40L110Q,财务管理,06,4.0,考试,邢颖* ,1-16周,2,1,主校区,逸夫教学楼,YF205,70,0
经济管理学院,40L110Q,财务管理,06,4.0,考试,邢颖* ,1-16周,5,1,主校区,逸夫教学楼,YF205,70,0
经济管理学院,40L110Q,财务管理,08,4.0,考试,张金鑫* ,1-16周,2,1,主校区,思源楼,SY109,70,48
经济管理学院,40L110Q,财务管理,08,4.0,考试,张金鑫* ,1-16周,5,1,主校区,逸夫教学楼,YF615,70,48
经济管理学院,40L110Q,财务管理,09,4.0,考试,肖翔* 王东 ,1-16周,2,1,主校区,思源楼,SY207,70,49
经济管理学院,40L110Q,财务管理,09,4.0,考试,肖翔* 王东 ,1-16周,5,1,主校区,逸夫教学楼,YF305,70,49
经济管理学院,40L110Q,财务管理,10,4.0,考试,何琳* ,1-16周,5,1,主校区,逸夫教学楼,YF514,70,-1
经济管理学院,40L110Q,财务管理,10,4.0,考试,何琳* ,1-16周,2,1,主校区,思源楼,SY206,70,-1
经济管理学院,40L114Q,中级经济学（A）,01,4.0,考试,李红昌* ,1-16周,4,4,主校区,思源东楼,SD206,70,0
经济管理学院,40L114Q,中级经济学（A）,01,4.0,考试,李红昌* ,1-16周,1,4,主校区,思源东楼,SD206,70,0
经济管理学院,40L114Q,中级经济学（A）,03,4.0,考试,彭兆祺* ,1-16周,4,4,主校区,思源西楼,SX402,71,0
经济管理学院,40L114Q,中级经济学（A）,03,4.0,考试,彭兆祺* ,1-16周,1,4,主校区,思源西楼,SX402,71,0
经济管理学院,40L114Q,中级经济学（A）,04,4.0,考试,吴昊2* ,1-16周,1,4,主校区,思源西楼,SX403,70,48
经济管理学院,40L114Q,中级经济学（A）,04,4.0,考试,吴昊2* ,1-16周,4,4,主校区,思源西楼,SX403,70,48
经济管理学院,40L120Q,金融学,02,2.0,考试,张莉莉* ,9-16周,5,1,主校区,逸夫教学楼,YF409,70,33
经济管理学院,40L120Q,金融学,02,2.0,考试,张莉莉* ,9-16周,2,6,主校区,逸夫教学楼,YF408,70,33
经济管理学院,40L121Q,经济法,02,2.0,考试,刘天善* ,1-8周,4,1,主校区,思源东楼,SD108,70,42
经济管理学院,40L121Q,经济法,02,2.0,考试,刘天善* ,1-8周,1,5,主校区,思源东楼,SD108,70,42
经济管理学院,40L121Q,经济法,03,2.0,考试,张力* ,1-8周,4,1,主校区,思源东楼,SD202,70,43
经济管理学院,40L121Q,经济法,03,2.0,考试,张力* ,1-8周,1,5,主校区,思源东楼,SD202,70,43
经济管理学院,40L122Q,经济学(A),01,3.0,考试,贾元华* 罗江浩 ,1-12周上,1,1,主校区,思源东楼,SD104,50,26
经济管理学院,40L122Q,经济学(A),01,3.0,考试,贾元华* 罗江浩 ,1-12周上,4,1,主校区,思源东楼,SD104,50,26
经济管理学院,40L126Q,经济学研究方法论(A),01,3.0,考试,吴昊2* ,"1,3,5,7,9,11,13,15周",4,5,主校区,思源东楼,SD102,70,6
经济管理学院,40L126Q,经济学研究方法论(A),01,3.0,考试,吴昊2* ,1-16周,2,2,主校区,思源东楼,SD102,70,6
经济管理学院,40L126Q,经济学研究方法论(A),02,3.0,考试,李红昌* 卜伟 ,"1,3,5,7,9,11,13,15周",5,4,主校区,逸夫教学楼,YF东701,70,54
经济管理学院,40L126Q,经济学研究方法论(A),02,3.0,考试,李红昌* 卜伟 ,1-16周,2,4,主校区,逸夫教学楼,YF东701,70,54
经济管理学院,40L126Q,经济学研究方法论(A),03,3.0,考试,李卫东* ,1-16周,2,2,主校区,逸夫教学楼,YF606,70,12
经济管理学院,40L126Q,经济学研究方法论(A),03,3.0,考试,李卫东* ,"1,3,5,7,9,11,13,15周",5,2,主校区,逸夫教学楼,YF508,70,12
经济管理学院,40L131Q,施工组织学,01,2.0,考试,刘菁* ,1-8周,4,2,主校区,逸夫教学楼,YF307,70,35
经济管理学院,40L131Q,施工组织学,01,2.0,考试,刘菁* ,1-8周,1,2,主校区,逸夫教学楼,YF307,70,35
经济管理学院,40L132Q,税法,01,2.0,考试,王冬梅* ,1-16周,2,4,主校区,思源东楼,SD107,70,15
经济管理学院,40L132Q,税法,02,2.0,考试,范铁燕* ,1-16周,2,4,主校区,思源东楼,SD108,70,-7
经济管理学院,40L132Q,税法,03,2.0,考试,姚爱群* ,1-16周,2,4,主校区,思源东楼,SD202,70,20
经济管理学院,40L136Q,应用统计学(B),01,2.0,考试,尹常玲* ,1-16周,1,4,主校区,逸夫教学楼,YF104,70,34
经济管理学院,40L141Q,学科前沿系列讲座,01,1.0,考试,黄磊* ,1-8周,3,2,主校区,思源楼,SY206,70,39
经济管理学院,40L141Q,学科前沿系列讲座,02,1.0,考试,张明玉* ,1-8周,3,5,主校区,逸夫教学楼,YF东701,70,50
经济管理学院,40L141Q,学科前沿系列讲座,03,1.0,考试,张菊亮* 汝宜红 穆东 赵启兰 ,1-8周,3,4,主校区,逸夫教学楼,YF603,70,21
经济管理学院,40L142Q,管理信息系统,01,4.0,考试,徐文胜* ,1-16周,2,2,主校区,逸夫教学楼,YF504,40,12
经济管理学院,40L142Q,管理信息系统,01,4.0,考试,徐文胜* ,1-16周,5,4,主校区,逸夫教学楼,YF504,40,12
经济管理学院,40L144Q,公共经济学,01,2.0,考试,林晓言* ,9-16周,2,1,主校区,思源东楼,SD107,70,31
经济管理学院,40L144Q,公共经济学,01,2.0,考试,林晓言* ,9-16周,4,1,主校区,思源西楼,SX401,70,31
经济管理学院,40L145Q,管理沟通专题,01,4.0,考试,叶龙* ,1-16周,5,5,主校区,机械楼,Z201,70,52
经济管理学院,40L145Q,管理沟通专题,01,4.0,考试,叶龙* ,1-16周,3,4,主校区,机械楼,Z204,70,52
经济管理学院,40L145Q,管理沟通专题,02,4.0,考试,兰哲* 吕海军 ,1-16周,5,5,主校区,思源东楼,SD203,70,9
经济管理学院,40L145Q,管理沟通专题,02,4.0,考试,兰哲* 吕海军 ,1-16周,3,4,主校区,思源东楼,SD203,70,9
经济管理学院,40L147Q,工程监理及合同管理,01,2.0,考试,唐永忠* ,1-8周,3,2,主校区,机械楼,Z105,70,46
经济管理学院,40L147Q,工程监理及合同管理,01,2.0,考试,唐永忠* ,1-8周,5,4,主校区,机械楼,Z105,70,46
经济管理学院,40L161Q,市场营销,01,4.0,考试,陈秀平* ,1-16周,4,4,主校区,思源东楼,SD202,70,0
经济管理学院,40L161Q,市场营销,01,4.0,考试,陈秀平* ,1-16周,1,4,主校区,思源东楼,SD202,70,0
经济管理学院,40L161Q,市场营销,02,4.0,考试,左莉* ,1-16周,4,4,主校区,思源东楼,SD203,70,0
经济管理学院,40L161Q,市场营销,02,4.0,考试,左莉* ,1-16周,1,4,主校区,思源东楼,SD203,70,0
经济管理学院,40L161Q,市场营销,03,4.0,考试,万晓* ,1-16周,4,4,主校区,思源西楼,SX404,70,0
经济管理学院,40L161Q,市场营销,03,4.0,考试,万晓* ,1-16周,1,4,主校区,思源西楼,SX404,70,0
经济管理学院,40L161Q,市场营销,04,4.0,考试,裘晓东* ,1-16周,4,4,主校区,思源西楼,SX405,70,0
经济管理学院,40L161Q,市场营销,04,4.0,考试,裘晓东* ,1-16周,1,4,主校区,思源西楼,SX405,70,0
经济管理学院,40L162Q,战略管理,01,2.0,考试,何晓明* ,1-8周,4,6,主校区,思源东楼,SD202,70,26
经济管理学院,40L162Q,战略管理,01,2.0,考试,何晓明* ,1-8周,2,5,主校区,思源东楼,SD202,70,26
经济管理学院,40L162Q,战略管理,02,2.0,考试,汤小华* ,1-8周,2,5,主校区,思源东楼,SD203,70,0
经济管理学院,40L162Q,战略管理,02,2.0,考试,汤小华* ,1-8周,4,6,主校区,思源东楼,SD203,70,0
经济管理学院,40L162Q,战略管理,03,2.0,考试,黎群* ,1-8周,4,6,主校区,思源东楼,SD206,70,-1
经济管理学院,40L162Q,战略管理,03,2.0,考试,黎群* ,1-8周,2,5,主校区,思源东楼,SD206,70,-1
经济管理学院,40L163Q,物流学,01,4.0,考试,田源* ,1-16周,3,4,主校区,思源西楼,SX401,70,-1
经济管理学院,40L163Q,物流学,01,4.0,考试,田源* ,1-16周,1,1,主校区,思源西楼,SX401,70,-1
经济管理学院,40L163Q,物流学,02,4.0,考试,汝宜红* 章竟 ,1-16周,3,1,主校区,思源东楼,SD107,70,20
经济管理学院,40L163Q,物流学,02,4.0,考试,汝宜红* 章竟 ,1-16周,5,4,主校区,思源东楼,SD107,70,20
经济管理学院,40L163Q,物流学,03,4.0,考试,兰洪杰* ,1-16周,3,4,主校区,机械楼,Z106,70,48
经济管理学院,40L163Q,物流学,03,4.0,考试,兰洪杰* ,1-16周,1,1,主校区,机械楼,Z106,70,48
经济管理学院,40L170Q,国际市场营销,01,2.0,考试,陈秀平* ,1-16周,1,5,主校区,逸夫教学楼,YF514,70,2
经济管理学院,40L193Q,物流系统模拟,02,2.0,考试,唐孝飞* ,9-16周,1,6,主校区,逸夫教学楼,YF108,70,60
经济管理学院,40L193Q,物流系统模拟,02,2.0,考试,唐孝飞* ,9-16周,4,6,主校区,逸夫教学楼,YF108,70,60
经济管理学院,40L197Q,产业经济学,01,4.0,考试,张梅青* 周耀东 ,1-16周,1,2,主校区,逸夫教学楼,YF415,70,21
经济管理学院,40L197Q,产业经济学,01,4.0,考试,张梅青* 周耀东 ,1-16周,5,2,主校区,逸夫教学楼,YF415,70,21
经济管理学院,40L199Q,国际金融,01,4.0,考试,叶蜀君* ,1-16周,1,2,主校区,思源东楼,SD202,70,-3
经济管理学院,40L199Q,国际金融,01,4.0,考试,叶蜀君* ,1-16周,4,2,主校区,思源东楼,SD202,70,-3
经济管理学院,40L199Q,国际金融,02,4.0,考试,刘德红* ,1-16周,1,2,主校区,思源东楼,SD108,70,35
经济管理学院,40L199Q,国际金融,02,4.0,考试,刘德红* ,1-16周,4,2,主校区,思源东楼,SD108,70,35
经济管理学院,40L199Q,国际金融,03,4.0,考试,杜佳* ,1-16周,4,2,主校区,思源东楼,SD107,70,35
经济管理学院,40L199Q,国际金融,03,4.0,考试,杜佳* ,1-16周,1,2,主校区,思源东楼,SD107,70,35
经济管理学院,40L204Q,技术管理,01,2.0,考试,陈娟* ,9-16周,4,6,主校区,逸夫教学楼,YF403,70,-1
经济管理学院,40L204Q,技术管理,01,2.0,考试,陈娟* ,9-16周,2,1,主校区,思源楼,SY101,70,-1
经济管理学院,40L206Q,财务会计,01,4.0,考试,孙敏* ,1-16周,3,4,主校区,逸夫教学楼,YF613,72,-7
经济管理学院,40L206Q,财务会计,01,4.0,考试,孙敏* ,1-16周,5,4,主校区,逸夫教学楼,YF613,72,-7
经济管理学院,40L206Q,财务会计,02,4.0,考试,李远慧* 崔永梅 ,1-16周,5,4,主校区,逸夫教学楼,YF615,72,-1
经济管理学院,40L206Q,财务会计,02,4.0,考试,李远慧* 崔永梅 ,1-16周,3,4,主校区,逸夫教学楼,YF615,72,-1
经济管理学院,40L206Q,财务会计,03,4.0,考试,于国红* ,1-16周,5,4,主校区,逸夫教学楼,YF614,72,0
经济管理学院,40L206Q,财务会计,03,4.0,考试,于国红* ,1-16周,3,4,主校区,逸夫教学楼,YF614,72,0
经济管理学院,40L207Q,高级财务会计,01,3.0,考试,门瑢* ,1-16周,2,6,主校区,思源西楼,SX501,70,19
经济管理学院,40L220Q,审计学,01,4.0,考试,高莹* ,1-16周,2,2,主校区,思源东楼,SD107,70,0
经济管理学院,40L220Q,审计学,01,4.0,考试,高莹* ,1-16周,5,2,主校区,思源东楼,SD107,70,0
经济管理学院,40L220Q,审计学,02,4.0,考试,张立民* 万里霜 ,1-16周,5,2,主校区,思源东楼,SD108,72,0
经济管理学院,40L220Q,审计学,02,4.0,考试,张立民* 万里霜 ,1-16周,2,2,主校区,思源东楼,SD108,72,0
